Player,Season,total_wickets,total_runs_conceded,total_balls_bowled,total_dot_balls,total_boundaries_conceded,total_innings_bowled,Economy_Rate,Balls_Per_Wicket,Dot_Ball_Percentage,z_wickets,z_economy,z_strike,z_economy_inv,z_strike_inv,Bowling_Impact_Score
C Bosch,2025,1,52,42,23,8,3,7.428571428571429,42.0,54.761904761904766,-0.5322624547576336,-0.9239358745703684,1.3476717200231731,0.9239358745703684,-1.3476717200231731,-0.21771434574906393
C Ganapathy,2010,0,13,6,1,2,1,13.0,,16.666666666666664,-0.7358886929133128,2.1204859876211812,,-2.1204859876211812,,
C Green,2023,8,343,228,79,50,16,9.026315789473683,28.5,34.64912280701755,0.5674792591265018,0.05944628923475535,0.3778537841651976,-0.05944628923475535,-0.3778537841651976,0.23760163812436977
C Green,2024,12,291,211,70,39,13,8.274881516587676,17.583333333333332,33.175355450236964,1.233258791041577,-0.564279304133416,-0.4096446429242819,0.564279304133416,0.4096446429242819,0.9090228227515346
C Madan,2010,0,0,0,0,0,1,,,0.0,-0.7358886929133128,,,,,
C Munro,2016,0,15,12,5,2,4,7.5,,41.66666666666667,-0.7091639485108657,-0.3879545457638221,,0.3879545457638221,,
C Munro,2018,0,0,0,0,0,4,,,0.0,-0.7600661620678525,,,,,
C Munro,2019,0,0,0,0,0,4,,,0.0,-0.6646256128631671,,,,,
C Nanda,2009,2,55,48,13,3,3,6.875,24.0,27.083333333333332,-0.3840615583088711,-0.3111520449003222,0.1282653804896989,0.3111520449003222,-0.1282653804896989,-0.1371280506732373
C Sakariya,2021,14,396,312,108,49,14,7.615384615384615,22.285714285714285,34.61538461538461,1.4974549122503766,-0.29924325762207576,-0.08754015280963895,0.29924325762207576,0.08754015280963895,0.9265042019457758
C Sakariya,2022,3,78,66,18,8,3,7.090909090909092,22.0,27.27272727272727,-0.26423011049806705,-0.6171670551673442,0.00784933449394401,0.6171670551673442,-0.00784933449394401,0.03864615560217476
C Sakariya,2023,3,80,48,17,12,2,10.0,16.0,35.41666666666667,-0.21075673272021003,0.5361064777015734,-0.5196545518776331,-0.5361064777015734,0.5196545518776331,-0.1987999635249426
C Sakariya,2025,0,38,18,3,6,1,12.666666666666668,,16.666666666666664,-0.6918613917164442,0.7960636340127304,,-0.7960636340127304,,
C de Grandhomme,2017,4,123,96,33,15,12,7.6875,24.0,34.375,-0.06811681183988412,-0.5115358194956601,0.11887531592695207,0.5115358194956601,-0.11887531592695207,0.09816520194771892
C de Grandhomme,2018,3,118,90,23,13,9,7.866666666666667,30.0,25.555555555555554,-0.2875354604762947,-0.5963096341404867,0.9750618210402949,0.5963096341404867,-0.9750618210402949,-0.12551088617586031
C de Grandhomme,2019,0,54,30,2,6,4,10.8,,6.666666666666667,-0.6646256128631671,0.9184094555148508,,-0.9184094555148508,,
CA Ingram,2011,0,0,0,0,0,3,,,0.0,-0.7023003869943175,,,,,
CA Ingram,2019,0,0,0,0,0,12,,,0.0,-0.6646256128631671,,,,,
CA Lynn,2012,0,0,0,0,0,1,,,0.0,-0.7175879219576333,,,,,
CA Lynn,2014,0,0,0,0,0,2,,,0.0,-0.7346011154146876,,,,,
CA Lynn,2016,0,0,0,0,0,2,,,0.0,-0.7091639485108657,,,,,
CA Lynn,2017,0,0,0,0,0,7,,,0.0,-0.7187848652357918,,,,,
CA Lynn,2018,0,0,0,0,0,16,,,0.0,-0.7600661620678525,,,,,
CA Lynn,2019,0,0,0,0,0,13,,,0.0,-0.6646256128631671,,,,,
CA Lynn,2021,0,0,0,0,0,1,,,0.0,-0.6553653527941746,,,,,
CA Pujara,2010,0,0,0,0,0,6,,,0.0,-0.7358886929133128,,,,,
CA Pujara,2011,0,0,0,0,0,3,,,0.0,-0.7023003869943175,,,,,
CA Pujara,2012,0,0,0,0,0,3,,,0.0,-0.7175879219576333,,,,,
CA Pujara,2013,0,0,0,0,0,4,,,0.0,-0.6414414305515577,,,,,
CA Pujara,2014,0,0,0,0,0,6,,,0.0,-0.7346011154146876,,,,,
CH Gayle,2009,1,132,113,32,11,7,7.008849557522124,113.0,28.31858407079646,-0.558155396553277,-0.24783567086807395,6.308928728408737,0.24783567086807395,-6.308928728408737,-1.1789740761051906
CH Gayle,2010,4,138,96,29,19,9,8.625,24.0,30.208333333333332,-0.005103250297595834,0.11614379814895213,0.22926999822077943,-0.11614379814895213,-0.22926999822077943,-0.07204042684148027
CH Gayle,2011,9,229,216,80,22,12,6.361111111111111,24.0,37.03703703703704,0.8427604643931811,-0.6494279495423818,0.1766157995229074,0.6494279495423818,-0.1766157995229074,0.6318542703505281
CH Gayle,2012,0,64,28,5,11,14,13.714285714285714,,17.857142857142858,-0.7175879219576333,2.006397914650622,,-2.006397914650622,,
CH Gayle,2013,3,39,24,10,7,16,9.75,8.0,41.66666666666667,-0.22742654453145242,1.0760507489102762,-1.2171340277590335,-1.0760507489102762,1.2171340277590335,-0.26532972000152666
CH Gayle,2014,0,0,0,0,0,9,,,0.0,-0.7346011154146876,,,,,
CH Gayle,2015,0,14,12,3,1,14,7.0,,25.0,-0.729007588136351,-0.7385576544810184,,0.7385576544810184,,
CH Gayle,2016,2,57,60,21,5,10,5.699999999999999,30.0,35.0,-0.3711612219204682,-1.3967632420934055,0.15963328229495938,1.3967632420934055,-0.15963328229495938,0.1909453082275202
CH Gayle,2017,0,0,0,0,0,9,,,0.0,-0.7187848652357918,,,,,
