Player,Season,total_wickets,total_runs_conceded,total_balls_bowled,total_innings_bowled,Economy_Rate,Balls_Per_Wicket,z_wickets,z_economy,z_strike,z_economy_inv,z_strike_inv,Bowling_Impact_Score
DR Sams,2022,14,341,252,11,8.11904761904762,18.0,1.379344088730981,-0.29908448928855813,-0.3714679698129998,0.29908448928855813,0.3714679698129998,0.8500718110884358
DR Shorey,2018,0,0,0,1,,,-0.7600661620678525,,,,,
DR Shorey,2019,0,0,0,1,,,-0.6646256128631671,,,,,
DR Smith,2008,5,76,66,4,6.90909090909091,13.2,0.11646227190785277,-0.6083032852469454,-0.8527103143872468,0.6083032852469454,0.8527103143872468,0.39904383294844425
DR Smith,2009,1,122,84,8,8.714285714285714,84.0,-0.558155396553277,0.5589061338025539,4.2950047161654545,-0.5589061338025539,-4.2950047161654545,-1.1189455525323506
DR Smith,2010,1,36,23,3,9.391304347826088,23.0,-0.5531923322593836,0.4672149145658274,0.1454199118368476,-0.4672149145658274,-0.1454199118368476,-0.46193437300325846
DR Smith,2012,3,93,78,7,7.153846153846153,26.0,-0.24533636071597031,-0.508701740280121,0.19512929588801506,0.508701740280121,-0.19512929588801506,0.02610803435685493
DR Smith,2013,2,56,30,13,11.2,15.0,-0.36889177414530067,1.8445904807043951,-0.6365582891412072,-1.8445904807043951,0.6365582891412072,-0.7345688119480075
DR Smith,2014,4,93,60,16,9.3,15.0,-0.06797801366523976,0.4423651894544214,-0.6308579211556379,-0.4423651894544214,0.6308579211556379,-0.09418813496832167
DR Smith,2015,1,17,12,16,8.5,12.0,-0.5744665058559842,0.10954711877622428,-0.7487169147271898,-0.10954711877622428,0.7487169147271898,-0.21326720729059212
DR Smith,2016,8,144,108,12,8.0,13.5,0.6428469578507243,-0.1077299078944935,-0.6635069383790765,0.1077299078944935,0.6635069383790765,0.4586549874452963
DR Smith,2017,2,144,78,12,11.076923076923077,39.0,-0.39345083853783797,1.0768566939034774,1.3429753394811075,-1.0768566939034774,-1.3429753394811075,-0.7750715630573022
DS Kulkarni,2008,13,210,177,10,7.11864406779661,13.615384615384615,1.4594506326470567,-0.5293942408228764,-0.8070490338244309,0.5293942408228764,0.8070490338244309,1.0360706556851997
DS Kulkarni,2009,5,198,156,8,7.615384615384615,31.2,0.13821995642434648,0.03908048558574959,0.6282741007707896,-0.03908048558574959,-0.6282741007707896,-0.03880930685845755
DS Kulkarni,2010,1,35,24,1,8.75,24.0,-0.5531923322593836,0.17341071784815867,0.22926999822077943,-0.17341071784815867,-0.22926999822077943,-0.37168041710966426
DS Kulkarni,2011,6,141,120,6,7.050000000000001,20.0,0.3277401805973482,-0.4250784319172099,-0.2024883388919117,0.4250784319172099,0.2024883388919117,0.34302079230348426
DS Kulkarni,2012,6,59,48,2,7.375,8.0,0.22691520052569267,-0.4239171832357637,-1.1210100181386697,0.4239171832357637,1.1210100181386697,0.42998011711616413
DS Kulkarni,2013,8,140,112,6,7.5,14.0,0.45585485398183545,-0.11651090387370192,-0.7194976803723252,0.11651090387370192,0.7194976803723252,0.37663089540256217
DS Kulkarni,2014,6,210,162,8,7.777777777777778,27.0,0.2653335372094842,-0.33636248653572975,0.12770386973221534,0.33636248653572975,-0.12770386973221534,0.23123805843241524
DS Kulkarni,2015,13,261,210,11,7.457142857142857,16.153846153846153,1.2800264815084177,-0.4800876283454777,-0.509799583037553,0.4800876283454777,0.509799583037553,0.884513848130759
DS Kulkarni,2016,20,361,294,14,7.36734693877551,14.7,2.6708633173931093,-0.4622998578516032,-0.6036421950573284,0.4622998578516032,0.6036421950573284,1.5877829382032151
DS Kulkarni,2017,3,168,113,6,8.920353982300885,37.666666666666664,-0.23078382518886104,0.06621915271003631,1.2341664484985155,-0.06621915271003631,-1.2341664484985155,-0.3236935833177206
DS Kulkarni,2018,4,181,119,8,9.126050420168067,29.75,-0.1300252266124421,0.08182952277239412,0.9478255034066123,-0.08182952277239412,-0.9478255034066123,-0.23582677178755082
DS Kulkarni,2019,6,324,210,10,9.257142857142858,35.0,0.2781472829163035,0.21196341735866472,0.6736323627817383,-0.21196341735866472,-0.6736323627817383,-0.03615840903464165
DS Kulkarni,2020,0,20,18,1,6.666666666666667,,-0.6688039599599783,-1.0082754668142166,,1.0082754668142166,,
DS Kulkarni,2021,0,46,24,1,11.5,,-0.6553653527941746,2.105567858958691,,-2.105567858958691,,
DS Lehmann,2008,0,0,0,2,,,-0.7229054535541496,,,,,
DS Rathi,2025,14,415,312,13,7.98076923076923,22.285714285714285,1.542523725706905,-0.7426142480536541,-0.07028126563556214,0.7426142480536541,0.07028126563556214,1.041719039517566
DT Christian,2011,11,332,274,14,7.27007299270073,24.90909090909091,1.1861073202570696,-0.35340755646678584,0.2627758309808209,0.35340755646678584,-0.2627758309808209,0.6773299302447867
DT Christian,2012,9,226,162,7,8.37037037037037,18.0,0.6991667617673557,-0.04231841199747356,-0.3898215103460671,0.04231841199747356,0.3898215103460671,0.42286805163470365
DT Christian,2013,0,49,36,2,8.166666666666668,,-0.643807316854346,0.23684069695118112,,-0.23684069695118112,,
DT Christian,2017,12,289,240,13,7.225,20.0,1.2332192949519314,-0.7282781738062943,-0.2075513570208227,0.7282781738062943,0.2075513570208227,0.902639711861292
